app,threads,actual_threads,size,elapsed_seconds,instructions,cycles,l1_i_misses,l1_d_misses,l2_misses,vec_sp,vec_dp
vector,1,1,1000,0.000379908,6258,11339,65,129,34,,
vector,1,1,10000,0.000240147,60280,68632,94,1117,76,,
vector,1,1,100000,0.001581369,600458,769183,99,15261,927,,
vector,1,1,1000000,0.009510647,6002218,15085984,257,146155,11549,,
vector,1,1,10000000,0.095532981,60019826,138345881,585,1582269,90646,,
vector,1,1,100000000,0.897026418,600195806,1370172736,6346,14284687,902659,,
vector,2,2,1000,0.000790906,25147,39734,91,156,115,,
vector,2,2,10000,0.000929399,188935,233474,122,1116,161,,
vector,2,2,100000,0.001558079,1366415,1869426,238,15414,9880,,
vector,2,2,1000000,0.008230322,8102483,14848286,303,148785,14421,,
vector,2,2,10000000,0.049484250,62120103,137064702,1880,1613605,99416,,
vector,2,2,100000000,0.460777812,602296050,1234609617,5784,14443166,865054,,
vector,4,4,1000,0.001302917,34127,65117,150,259,129,,
vector,4,4,10000,0.001251170,177461,296559,156,1198,215,,
vector,4,4,100000,0.001906545,774990,1452919,216,15326,1293,,
vector,4,4,1000000,0.005818521,9107518,16267773,485,144130,9951,,
vector,4,4,10000000,0.035269579,66320623,182039451,1107,1606559,86569,,
vector,4,4,100000000,0.299388644,606496666,1618929973,5484,14345967,799188,,
vector,8,8,1000,0.002274112,51810,120105,292,406,312,,
vector,8,8,10000,0.001955119,224333,377937,344,1283,375,,
vector,8,8,100000,0.002510415,945810,1508222,360,16053,2967,,
vector,8,8,1000000,0.007277568,14855393,25928116,1146,150134,28305,,
vector,8,8,10000000,0.028952017,73064611,270072709,1877,1565704,246488,,
vector,8,8,100000000,0.229260495,614897837,2194077522,15714,14439129,2498055,,
vector,16,16,1000,0.008458378,20832139,28442846,544,830,525,,
vector,16,16,10000,0.008147765,19643262,27078390,923,1659,1088,,
vector,16,16,100000,0.014254655,21924120,30076710,591,30289,2238,,
vector,16,16,1000000,0.014609196,37506236,64840356,960,144251,29799,,
vector,16,16,10000000,0.025534544,91523879,306793141,3459,1548426,315092,,
vector,16,16,100000000,0.219199555,631700378,2996526759,10995,14353115,6630137,,
pi,1,1,1000,0.000373255,12263,15651,42,22,28,,
pi,1,1,10000,0.000396070,120269,111070,48,19,29,,
pi,1,1,100000,0.001187301,1200265,1051721,85,19,26,,
pi,1,1,1000000,0.006074069,12000267,10453847,95,46,33,,
pi,1,1,10000000,0.038103760,120000289,115090122,128,94,37,,
pi,1,1,100000000,0.361157580,1200000551,1092586146,727,407,173,,
pi,1,1,1000000000,3.452171708,12000002777,10649140301,2063,6432,278,,
pi,2,2,1000,0.000878559,41432,53461,96,47,70,,
pi,2,2,10000,0.000804515,202655,202227,98,49,64,,
pi,2,2,100000,0.001084136,1825545,1712109,100,87,74,,
pi,2,2,1000000,0.004439431,14100540,12639827,143,89,63,,
pi,2,2,10000000,0.026148462,122100570,116653130,227,142,135,,
pi,2,2,100000000,0.184191758,1202100752,1070365936,281,472,249,,
pi,2,2,1000000000,1.745098587,12002102624,10717909756,2659,4018,469,,
pi,4,4,1000,0.001211259,25278,52582,201,95,110,,
pi,4,4,10000,0.001179553,184288,248276,162,91,105,,
pi,4,4,100000,0.001385340,1205274,1071463,132,158,96,,
pi,4,4,1000000,0.005147669,16209252,20873554,203,188,201,,
pi,4,4,10000000,0.021928280,126301150,160428046,319,242,227,,
pi,4,4,100000000,0.165281171,1206301513,1501818962,831,614,471,,
pi,4,4,1000000000,0.909097725,12006303362,10834745096,3832,4293,631,,
pi,8,8,1000,0.002242028,70818,127553,243,197,249,,
pi,8,8,10000,0.002143978,301567,465821,293,228,151,,
pi,8,8,100000,0.002877364,2518131,3221984,265,189,174,,
pi,8,8,1000000,0.005232530,19482993,28158691,399,225,248,,
pi,8,8,10000000,0.014079660,132620544,177671699,774,507,398,,
pi,8,8,100000000,0.091561853,1212832602,1610017289,1306,1123,485,,
pi,8,8,1000000000,0.719836598,12014705464,14583029558,3528,8195,1046,,
pi,16,16,1000,0.009756495,23650287,31421584,607,461,370,,
pi,16,16,10000,0.007909747,264943,486259,741,701,358,,
pi,16,16,100000,0.008811527,15002045,21075826,840,493,326,,
pi,16,16,1000000,0.008372068,26562718,41639686,672,708,691,,
pi,16,16,10000000,0.022269181,151504478,214461469,1029,940,740,,
pi,16,16,100000000,0.060157154,1231504969,2001735387,1780,2007,965,,
pi,16,16,1000000000,0.491217767,12031513139,19710283409,7434,13152,1416,,
