threads,actual_threads,size,elapsed_seconds,instructions,cycles,l1_i_misses,l1_d_misses,l2_misses,resource_stalls,no_issue_cycles,branch_correct
1,1,1000,0.000390607,10189,44974,40,19,27,36995,2531,1031
1,1,10000,0.000313080,100195,414911,48,10,26,364308,6501,10031
1,1,100000,0.003301547,1000193,4111080,75,41,33,3700030,2607,100027
1,1,1000000,0.013458237,10000195,41009597,90,43,26,36983432,13376,1000025
1,1,10000000,0.137406677,100000259,410133082,228,238,89,369959444,76788,9999997
1,1,100000000,1.326229491,1000000853,4100471406,2508,1737,51,3680111611,984580,99999734
1,1,1000000000,13.282110194,10000007249,41016738731,12771,16401,492,36810267549,16009129,999996117
2,2,1000,0.000862104,20390,90990,81,30,58,74881,7655,2056
2,2,10000,0.000985395,200388,831684,78,27,60,740622,7058,20060
2,2,100000,0.001724931,2000378,8210606,90,60,62,7389619,13474,200053
2,2,1000000,0.018127674,20000404,82031263,155,109,69,73922815,28990,2000049
2,2,10000000,0.138098514,200000556,820475522,312,340,65,739307369,711486,19999970
2,2,100000000,1.336010750,2000002083,8204603600,2749,3298,232,7390373016,2339605,199999329
2,2,1000000000,13.289833832,20000015873,82030085629,18914,31725,1220,73609545723,25426157,1999993079
4,4,1000,0.001242690,40774,181653,157,70,121,149610,15465,4112
4,4,10000,0.001448502,400762,1656303,156,92,138,1480449,17059,40118
4,4,100000,0.004021185,4000796,16439668,238,91,131,14780087,17355,400112
4,4,1000000,0.020924544,40000836,164104001,394,240,132,147880747,132478,4000091
4,4,10000000,0.148921807,400001158,1640643994,1023,959,229,1479667119,406031,39999948
4,4,100000000,1.346433381,4000004329,16405086817,4973,7442,457,14759238998,5091454,399998804
4,4,1000000000,13.360243549,40000035896,164128637427,42410,89310,2218,146695760794,50519908,3999985781
8,8,1000,0.002085213,81537,368606,218,142,157,174455,32961,8244
8,8,10000,0.003648260,801534,3319028,564,169,237,2141702,20536,80243
8,8,100000,0.004851287,8001561,32878496,291,265,194,21386782,56182,800244
8,8,1000000,0.020514447,80001742,333246006,533,559,206,213736324,249863,8000213
8,8,10000000,0.152408176,800002303,3285490467,3028,1754,469,1794884451,7716351,79999818
8,8,100000000,1.352831527,8000009421,32879846068,12690,14809,1179,26842251877,13059798,799997513
8,8,1000000000,13.372139220,80000085966,328184804434,103293,196043,5810,274295170410,215210212,7999969238
16,16,1000,0.012234183,163035,816327,435,278,326,264972,67386,16509
16,16,10000,0.010675016,1603208,6757908,472,345,283,2660600,193099,160506
16,16,100000,0.011784419,16003197,65831616,541,875,388,30737957,300313,1600490
16,16,1000000,0.030775440,160003653,656860884,744,1293,374,267290038,634665,16000441
16,16,10000000,0.146430914,1600004917,6562441463,2848,4143,440,2785279158,3695525,159999858
16,16,100000000,1.368626146,16000020410,65687180046,16070,29201,1118,26485284100,52309871,1599993834
16,16,1000000000,13.952013982,160000297613,656858277892,175486,285138,6188,265011751979,665720840,15999903453
